"date_sample","sample_source","sample_id","analyte","value_qualifier","analyte_value","value_units","source_description"
"2019-04-14","242 SYS","W1295305","Fluoride","","0.331","MG/L","7260 Barker Way"
"2019-04-15","249A SYS","W1299793","Fluoride","","0.529","MG/L","6429 Glidden St.; Sample Stanchion"
"2019-04-16","131 SYS","W1299962","Fluoride","","0.348","MG/L","E Park Ave/San Ysidro Blvd;Sample Stanchion"
"2019-04-16","284 SYS","W1299963","Chlorate","","172.5","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-04-16","284 SYS","W1299963","Chlorite","","428.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-04-16","OT COMB FILTER","W1299958","pH","","7.56","PH","OT FP Filter Combined Filter Effluent"
"2019-04-16","OT COMB FILTER","W1299958","Total THMs","","10.3","UG/L","OT FP Filter Combined Filter Effluent"
"2019-04-16","OT FILTER 1-8","W1299956","pH","","7.6","PH","OT FP Filters 1-8"
"2019-04-16","OT FILTER 1-8","W1299956","Total THMs","","9.2","UG/L","OT FP Filters 1-8"
"2019-04-16","OT FILTER 9-16","W1299957","pH","","7.97","PH","OT FP Filters  9-16"
"2019-04-16","OT FILTER 9-16","W1299957","Total THMs","","10.4","UG/L","OT FP Filters  9-16"
"2019-04-16","OT SETTLED","W1299955","pH","","7.79","PH","OT FP Settled"
"2019-04-16","OT SETTLED","W1299955","Total THMs","","14.4","UG/L","OT FP Settled"
"2019-04-17","119 SYS","W1300042","pH","","8.1","PH","Lower Otay Recreation"
"2019-04-17","49A SYS","W1300005","Fluoride","","0.632","MG/L","John J. Hopkins Dr. & General Atomic"
"2019-04-18","184 SYS","W1300073","Fluoride","","0.62","MG/L","12170 Springhurst Dr."
"2019-04-18","204A SYS","W1300110","Chlorate","","175.5","UG/L","2787 Alta View Drive"
"2019-04-18","204A SYS","W1300110","Chlorite","","392.5","UG/L","2787 Alta View Drive"
"2019-04-18","300 SYS","W1300109","Chlorate","","183.0","UG/L","5368 Topsail Drive"
"2019-04-18","300 SYS","W1300109","Chlorite","","365.0","UG/L","5368 Topsail Drive"
"2019-04-19","78A SYS","W1300125","Fluoride","","0.201","MG/L","6200 Calle Mariselda"
"2019-04-20","281 SYS","W1295310","Fluoride","","0.18","MG/L","6831 Monte Verde Dr"
"2019-04-21","150 SYS","W1295315","Fluoride","","0.208","MG/L","Acorn St & 62nd St @ Fire Station"
"2019-04-22","259 SYS","W1301149","Fluoride","","0.2289999999999999","MG/L","3945 Alameda Dr; Sample Box"
"2019-04-23","138A SYS","W1301491","Fluoride","","0.191","MG/L","4202 N. Harbor Drive; Sample Stanchion"
"2019-04-23","OT COMB FILTER","W1301487","pH","","7.92","PH","OT FP Filter Combined Filter Effluent"
